,cls_name,count,loss_ce,loss_bbox,loss_giou,weighted_loss
0,N/A,0.0,0.0,0.0,0.0,0.0
1,person,10777.0,52088.62,11379.968,11702.672,12.284848
2,bicycle,314.0,1487.0145,341.46405,348.7668,12.394486
3,car,1918.0,8252.579,2357.622,2223.34,12.767138
4,motorcycle,367.0,1980.5469,349.15274,375.61514,12.200384
5,airplane,143.0,802.57355,114.6901,128.67291,11.422167
6,bus,283.0,1334.5692,232.42719,254.53632,10.621123
7,train,190.0,803.2804,129.36642,150.39154,9.2152405
8,truck,414.0,2130.0618,434.91425,444.9752,12.547302
9,boat,424.0,1788.207,469.466,456.7724,11.908213
10,traffic light,634.0,3275.5715,831.281,734.8838,14.040606
11,fire hydrant,101.0,402.26605,98.0141,103.06814,10.875968
12,N/A,0.0,0.0,0.0,0.0,0.0
13,stop sign,75.0,400.6726,72.65483,73.893036,12.156438
14,parking meter,60.0,256.04782,58.845093,64.43869,11.319179
15,bench,411.0,1787.0316,434.43457,450.96667,11.827585
16,bird,427.0,2343.6648,482.93268,451.37677,13.257802
17,cat,202.0,766.82166,131.4102,157.12419,8.60456
18,dog,218.0,1017.22675,166.80556,190.58492,10.2404785
19,horse,272.0,1390.8455,226.28828,257.3367,11.165295
20,sheep,354.0,1482.1763,353.9542,373.65778,11.297352
21,cow,372.0,1814.6266,370.06555,378.47638,11.8868475
22,elephant,252.0,1315.9407,206.23918,238.03317,11.203187
23,bear,71.0,371.2901,47.90657,55.02966,10.153272
24,zebra,266.0,1089.4847,225.66666,252.1124,10.233243
25,giraffe,232.0,1003.24884,170.56622,204.1151,9.759957
26,N/A,0.0,0.0,0.0,0.0,0.0
27,backpack,371.0,1644.1052,432.39307,418.2618,12.513731
28,umbrella,407.0,2000.2965,416.91864,445.60464,12.226288
29,N/A,0.0,0.0,0.0,0.0,0.0
30,N/A,0.0,0.0,0.0,0.0,0.0
31,handbag,540.0,2816.9207,652.0456,622.7633,13.560509
32,tie,252.0,1236.7529,269.35995,270.63287,12.400073
33,suitcase,299.0,1392.8506,301.44125,314.03433,11.79975
34,frisbee,115.0,447.77255,127.232925,124.32816,11.5877695
35,skis,241.0,1246.7573,275.52274,271.2004,13.140133
36,snowboard,69.0,296.40356,76.36901,76.82507,12.056504
37,sports ball,260.0,1121.2384,341.94275,297.05856,13.173344
38,kite,327.0,1673.695,375.68625,357.56866,13.049736
39,baseball bat,145.0,652.0562,147.21056,160.5301,11.787374
40,baseball glove,148.0,831.49445,169.1346,156.6999,13.449779
41,skateboard,179.0,967.7487,180.03542,185.24637,12.505131
42,surfboard,267.0,1048.5073,268.44485,278.14697,11.037548
43,tennis racket,225.0,1092.7311,234.7665,245.33493,12.254371
44,bottle,1013.0,4227.704,1210.1094,1165.9106,12.448245
45,N/A,0.0,0.0,0.0,0.0,0.0
46,wine glass,341.0,1845.0172,387.6931,386.46487,13.361914
47,cup,895.0,4597.6367,1058.9603,1032.3585,13.35995
48,fork,215.0,1199.3859,234.94528,249.53339,13.363625
49,knife,325.0,1380.3922,380.32364,373.3996,12.3963375
50,spoon,253.0,1194.8069,293.51996,289.34143,12.810631
51,bowl,623.0,2647.3135,665.74805,683.1663,11.785532
52,banana,370.0,1763.2893,388.45105,399.87366,12.176465
53,apple,236.0,836.5758,265.71405,262.7865,11.401352
54,sandwich,177.0,847.60657,136.49721,162.8333,10.484515
55,orange,285.0,1234.2715,302.8851,307.6824,11.803725
56,broccoli,312.0,1530.2102,311.34146,327.97275,11.996356
57,carrot,365.0,1724.1514,393.66632,391.0516,12.25914
58,hot dog,125.0,521.985,110.18622,119.34998,10.492928
59,pizza,284.0,1480.9755,255.65015,281.10095,11.6951685
60,donut,328.0,1343.1674,364.25577,364.84943,11.872394
61,cake,310.0,1513.416,310.96176,325.61932,11.998269
62,chair,1771.0,7945.006,2004.2992,2063.6968,12.475378
63,couch,261.0,1138.1802,216.89177,273.18802,10.609253
64,potted plant,342.0,1766.7,368.8668,387.63132,12.825428
65,bed,163.0,802.7315,130.30333,142.91937,10.67538
66,N/A,0.0,0.0,0.0,0.0,0.0
67,dining table,695.0,2387.2249,669.0121,708.57806,10.286966
68,N/A,0.0,0.0,0.0,0.0,0.0
69,N/A,0.0,0.0,0.0,0.0,0.0
70,toilet,179.0,922.9972,145.01173,182.98691,11.251563
71,N/A,0.0,0.0,0.0,0.0,0.0
72,tv,288.0,1330.544,264.88263,303.8318,11.328544
73,laptop,231.0,1044.7008,195.70885,228.75089,10.739163
74,mouse,106.0,473.43933,129.62852,123.290245,12.907193
75,remote,283.0,1633.7345,339.1856,316.30844,14.000988
76,keyboard,153.0,661.64197,140.80234,162.14355,11.045364
77,cell phone,262.0,1089.5704,287.06128,275.3476,11.738826
78,microwave,55.0,272.80103,52.97681,57.004692,11.84899
79,oven,143.0,643.78455,125.63504,149.15784,10.980947
80,toaster,9.0,34.52115,8.763853,8.994308,10.703226
81,sink,225.0,778.77045,227.58864,248.00479,10.723214
82,refrigerator,126.0,766.66364,104.90714,129.60036,12.304762
83,N/A,0.0,0.0,0.0,0.0,0.0
84,book,1129.0,5285.7554,1417.3787,1322.1632,13.301129
85,clock,267.0,990.3881,301.69183,288.84174,11.522587
86,vase,274.0,1159.9357,303.33255,302.69662,11.978072
87,scissors,36.0,137.72264,34.73759,36.274082,10.665521
88,teddy bear,190.0,769.78827,156.45464,174.9191,10.009998
89,hair drier,11.0,50.605347,11.925723,12.774252,12.343861
90,toothbrush,57.0,327.57605,59.491505,60.17412,13.076875
